Genotyping_Sample_ID	Cluster	EV.1	EV.2	EV.3	EV.4	EV.5
PENN_78	A	0.021417	0.015135	0.00505	-0.020986	-0.006737
PENN_79	A	0.021651	0.028874	0.003521	0.006823	-0.00625
PENN_8	D	-0.083839	0.00078	0.028293	0.00241	0.005267
PENN_80	E	0.021797	0.013714	0.002292	0.011474	-0.026761
PENN_81	A	0.021305	0.019426	-0.000151	0.003808	0.031902
PENN_82	D	-0.083281	0.00078	0.021883	-0.002116	-0.003989
PENN_83	A	0.021359	0.031293	0.003397	-0.043165	0.014801
PENN_85	D	-0.085257	0.000909	0.029993	0.000173	-0.006943
PENN_86	G	0.01809	0.001995	-0.006945	0.094369	0.036516
PENN_87	E	0.021724	0.03544	-0.002313	-0.007713	-0.013896
PENN_88	E	0.020882	0.024258	-0.001982	0.015734	-0.001407
PENN_89	A	0.02144	0.026109	0.00076	-0.017854	-0.018392
PENN_9	B	0.018274	-0.08269	0.004718	-0.037376	0.007542
PENN_90	D	-0.083736	0.00084	0.016962	-0.004982	-0.019187
PENN_91	A	0.020735	0.02906	0.00194	-0.036191	0.002854
PENN_92	A	0.021357	0.022018	0.004915	-0.024492	0.0187
PENN_94	D	-0.071136	0.00071	0.022601	-0.000342	0.002312
PENN_95	A	0.022023	0.027787	0.000125	-0.018494	-0.011249
PENN_96	A	0.021055	0.020368	0.007355	0.007773	0.006339
PENN_97	A	0.020517	0.027075	-0.001116	-0.006317	0.02115
PENN_98	E	0.021295	0.022703	-0.00092	0.017341	-0.021986
PENN_99	A	0.022174	0.033517	0.007108	0.005377	0.010636
PITT_10003	A	0.020448	0.036813	0.00113	-0.034935	0.021266
PITT_10005	A	0.021159	0.028781	0.003962	0.021813	0.014492
PITT_10020	E	0.021368	0.030695	0.00131	0.012833	-0.017507
PITT_10023	D	-0.081741	0.000958	0.021354	-0.001249	0.003553
PITT_10024	D	-0.086221	0.000781	0.026105	0.005146	0.006508
PITT_10025	D	-0.083578	0.000949	0.028792	-0.003596	0.004243
PITT_10026	A	0.021328	0.03387	0.003989	-0.002757	0.003503
PITT_1026	E	0.020789	0.020873	0.003871	0.015533	-0.016251
PITT_1047	A	0.020968	0.030079	0.00475	-0.025874	0.004152
PITT_1086	A	0.020484	0.034287	0.000782	-0.038698	-0.039152
PITT_1088	A	0.021636	0.028209	0.00334	-0.022303	-0.025274
PITT_1092	D	-0.084949	0.000969	0.025025	-0.006541	-0.00598
PITT_1099	G	0.020694	0.01466	0.00369	0.048432	-0.015049
PITT_1105	G	0.020561	0.006331	0.004535	0.049822	0.016392
PITT_1122	G	0.01896	-0.018288	0.001778	0.082504	-0.05987
PITT_1173	E	0.020845	0.027667	-0.005397	0.00103	-0.029963
PITT_1178	D	-0.082078	0.000862	0.026362	-0.001318	-0.017079
PITT_1188	B	0.020233	-0.026091	0.004216	-0.042945	0.002474
PITT_1189	A	0.021835	0.029823	0.004925	0.01074	4e-05
PITT_1191	D	-0.086489	0.000913	0.026037	-0.002074	-0.011014
PITT_1201	A	0.021477	0.008252	0.007	-0.014651	0.013505
PITT_1209	A	0.020959	0.021475	0.006672	-0.016689	0.018422
PITT_1211	E	0.022379	0.021685	0.003977	0.015276	0.004297
PITT_1222	E	0.021207	0.02965	-0.001558	-0.005418	-0.013508
PITT_1230	A	0.021624	0.026734	0.00169	0.010582	0.009071
PITT_1240	D	-0.084778	0.000864	0.021921	-0.003715	-0.01847
PITT_1247	E	0.020654	-0.003641	-0.00282	0.013029	-0.01138
PITT_1256	A	0.021159	0.031269	-0.00241	0.004559	0.015836
PITT_1263	A	0.020981	0.025787	0.002286	0.001911	0.030998
PITT_1268	D	-0.087817	0.000782	0.026622	0.002696	0.006898
PITT_1270	B	0.018373	-0.081063	0.003041	-0.031056	0.008231
PITT_1282	A	0.021293	0.027958	0.004912	-0.02196	0.000404
PITT_1284	G	0.021249	0.003701	0.006598	0.053921	-0.03685
PITT_1307	D	-0.079593	0.000838	0.01671	0.000203	-0.012937
PITT_1314	A	0.020741	0.037104	0.004811	0.006165	0.019558
PITT_1324	G	0.020535	0.007464	-0.004939	0.092519	-0.024716
