"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PCT_CHIMERAS","CODING_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_Dropout","GC_Dropout","Read_Pair_Duplicates","Read_Pair_Optical_Duplicates"
"MSSM_RNA_PFC_174",79104895,79104895,76422778,0.016633,1054350670,0.425048,0.531032,0.806949,0.656624,13.174756,0.256009,3488928,2481161
"MSSM_RNA_PFC_175",90861819,90861819,87358073,0.016973,1237004091,0.427122,0.584136,0.822013,0.721662,8.356959,2.357374,5247738,3253794
"MSSM_RNA_PFC_176",80109555,80109555,78011827,0.014296,788738682,0.556698,0.33933,0.732934,0.52502,5.056625,5.857013,5114209,1891806
"MSSM_RNA_PFC_177",66075991,66075991,64625020,0.01722,740873886,0.443918,0.407576,0.868633,0.449702,3.0754,4.188622,7153761,3183973
"MSSM_RNA_PFC_179",67056850,67056850,65127632,0.01947,565659498,0.434782,0.477113,0.830714,0.582141,4.968788,2.274327,2289512,1622944
"MSSM_RNA_PFC_180",80799192,80799192,78395825,0.015929,1054060336,0.412753,0.556238,0.858403,0.663476,4.707281,2.965128,7738174,3478414
"MSSM_RNA_PFC_181",61513183,61513183,59847354,0.013511,649513558,0.623973,0.30531,0.685776,0.418696,5.959991,6.809397,6162923,2174687
"MSSM_RNA_PFC_182",77535905,77535905,75388188,0.017429,671746715,0.500119,0.46512,0.756971,0.637622,4.378448,3.951819,3121934,1607244
"MSSM_RNA_PFC_183",71908082,71908082,69809083,0.017489,705617429,0.450084,0.445219,0.925051,0.52718,6.635178,2.435175,5425181,3207181
"MSSM_RNA_PFC_184",64723236,64723236,62335577,0.017913,756689288,0.375369,0.619632,0.901047,0.681113,13.405529,1.540483,3777934,2906019
"MSSM_RNA_PFC_185",88370813,88370813,83107832,0.011683,1852613291,0.503631,0.447098,0.770636,0.591298,10.805128,4.15472,7500867,4363386
"MSSM_RNA_PFC_186",65463311,65463311,63855642,0.01663,897660219,0.420915,0.581965,0.770373,0.760495,6.516166,1.498858,3386297,1485794
"MSSM_RNA_PFC_187",81066150,81066150,78483567,0.015566,1226439771,0.390672,0.628556,0.835302,0.74476,10.372104,0.950106,3604994,2447346
"MSSM_RNA_PFC_188",87075767,87075767,85138665,0.015693,962365584,0.457952,0.439453,1.019549,0.429891,5.260087,3.732036,5591443,2481390
"MSSM_RNA_PFC_189",102993061,102993061,99893387,0.015968,1112046270,0.462915,0.472959,0.797231,0.594308,5.682702,2.885216,4841086,3313699
"MSSM_RNA_PFC_192",77781097,77781097,74742168,0.015547,819734732,0.462528,0.720539,0.801219,0.898613,18.319482,1.935778,10788735,7149427
"MSSM_RNA_PFC_194",101040814,101040814,96582717,0.01608,1104905962,0.406411,0.714843,0.910351,0.76212,22.486792,2.486241,14128372,10837941
"MSSM_RNA_PFC_195",66469280,66469280,64835815,0.013357,939455977,0.516905,0.445737,0.745845,0.596599,4.155878,4.407355,2908347,1070766
