Gene Symbol,Affymetrix ID,Module Assigned
1600014E20Rik,1460480_at,NA
1600015H20Rik,1460412_at,NA
1600015I10Rik,1449327_at,NA
1600020H07Rik,1449047_at,NA
1600029D21Rik,1423934_at,NA
1600029D21Rik,1423933_a_at,NA
1700001C19Rik,1460425_at,NA
1700001C19Rik,1452602_a_at,NA
1700001E04Rik /// 4930555G01Rik /// AY358078 /// D830030K20Rik /// LOC432819 /// LOC432825 /// LOC434528 /// LOC434541 /// LOC434577 /// LOC544986 /// LOC544988 /// LOC544990 /// LOC544994 /// LOC544996 /// LOC544997 /// B930046C15Rik /// LOC545001 /// LOC545002 /// LOC545003 /// LOC545004 /// LOC545005 /// LOC545006 /// LOC545007 /// LOC545008 /// LOC545009 /// LOC545010 /// LOC545011 /// LOC545012 /// LOC545013 /// LOC545014 /// 2610042L04Rik /// LOC545016 /// LOC545017 /// LOC545018 /// LOC546221 /// LOC546594 /// LOC546597 /// LOC554327,1431262_at,NA
1700001F09Rik,1417906_at,NA
1700001F22Rik,1429349_at,NA
1700001G17Rik,1449562_at,NA
1700001K19Rik,1422722_at,NA
1700001O22Rik,1424795_a_at,NA
1700008F21Rik,1449879_at,NA
1700008P20Rik,1449284_at,NA
1700009P03Rik,1426419_at,pink
1700009P03Rik,1426421_s_at,NA
1700009P03Rik,1426420_at,NA
1700009P03Rik,1426803_at,NA
1700009P13Rik,1425345_at,NA
1700009P13Rik,1427951_s_at,midnightblue
1700010I14Rik,1449541_x_at,NA
1700010I14Rik,1419624_a_at,NA
1700010I14Rik,1436863_at,NA
1700011A15Rik,1420435_at,NA
1700011H14Rik,1419294_at,NA
1700012B18Rik,1424022_at,NA
1700012G19Rik,1452919_a_at,NA
1700012G19Rik,1428788_at,orange
1700012L04Rik,1419187_at,NA
1700012M14Rik,1423580_at,NA
1700013H19Rik,1429270_a_at,red
1700013L23Rik,1451625_a_at,NA
1700013N18Rik,1422840_at,NA
1700016D06Rik,1425657_at,NA
1700016G05Rik,1449427_at,NA
1700017B05Rik,1429758_at,NA
1700017G21Rik /// LOC434724 /// LOC434725 /// LOC546185 /// LOC546187 /// LOC546199 /// LOC546203 /// LOC546204 /// LOC546259,1424537_at,NA
1700018B24Rik,1451061_at,NA
1700018F24Rik,1449923_at,NA
1700019G17Rik,1436669_at,NA
1700019G17Rik,1420767_at,NA
1700019G17Rik,1436670_x_at,NA
1700019I23Rik,1448983_at,NA
1700019L03Rik,1429845_at,NA
1700019N19Rik,1451001_at,NA
1700020C11Rik,1424223_at,orange
1700020D05Rik,1422633_at,NA
1700020H15,1420278_at,NA
1700020H15,1420279_at,NA
1700020I14Rik,1430989_a_at,NA
1700020M16Rik,1452736_at,yellow
1700021F05Rik,1421019_at,grey
1700021K02Rik,1429956_at,NA
1700021K02Rik,1427130_x_at,NA
1700021K02Rik,1425957_x_at,NA
1700021K02Rik,1450281_a_at,NA
1700022C02Rik,1456360_at,NA
1700022C21Rik,1424999_at,NA
1700022L09Rik,1417139_at,NA
1700023A18Rik,1424793_a_at,NA
1700023B02Rik,1423375_at,NA
1700023D09Rik,1448030_at,NA
1700023O11Rik,1437592_x_at,NA
1700023O11Rik,1451167_at,NA
1700023O11Rik,1451166_a_at,NA
1700024D23Rik,1431613_a_at,NA
1700025B16Rik,1449756_at,NA
1700027N10Rik,1424763_at,grey
1700028P14Rik,1419326_at,NA
1700029B21Rik,1425651_at,NA
1700029F12Rik,1419715_at,NA
1700029H14Rik,1450999_a_at,NA
1700029I01Rik /// LOC433791 /// LOC545705,1424784_at,NA
1700029K01Rik,1427205_x_at,NA
1700029K01Rik,1429569_a_at,NA
1700029P11Rik,1449276_at,NA
1700030K09Rik,1424447_at,NA
1700034I23Rik,1419016_at,NA
1700034M03Rik,1432094_a_at,brown
1700036D21Rik,1427716_at,NA
1700036D21Rik,1426131_at,NA
1700037H04Rik,1460262_a_at,NA
1700037H04Rik,1419742_at,NA
1700040I03Rik,1429122_a_at,midnightblue
1700045I19Rik,1449239_at,NA
1700048E23Rik,1425190_a_at,NA
1700048E23Rik,1451624_a_at,NA
1700051C09Rik,1460686_at,NA
1700051C09Rik,1432480_a_at,NA
1700051C09Rik,1439405_x_at,NA
1700051E09Rik,1431748_a_at,NA
1700051E09Rik,1434432_at,NA
1700052N19Rik,1421495_a_at,NA
1700054N08Rik,1451483_s_at,pink
1700054N08Rik,1424796_at,NA
